,vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
7179,024-58897,2020-01-06,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,3.0
14785,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.81
14786,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.79
10313,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,21.0
10314,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,ILAL_µg/l Al,,20.0
11924,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,36.0
11925,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,LAL_µg/l Al,,41.0
672,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.55
673,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.55
8702,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,57.0
8703,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,RAL_µg/l Al,,61.0
7099,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,2.8
7100,025-45773,2020-04-20,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,2.6
17737,055-58813,2020-04-21,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.63
17738,055-58813,2020-04-21,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.63
3625,055-58813,2020-04-21,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.07
3626,055-58813,2020-04-21,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.91
8471,055-58813,2020-04-21,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,0.8
8472,055-58813,2020-04-21,VestfoldLAB (2020),0.0,0.0,TOC_mg/l C,,0.8
17826,062-58818,2020-04-13,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.46
17827,062-58818,2020-04-13,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,1.47
3714,062-58818,2020-04-13,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.64
3715,062-58818,2020-04-13,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,6.61
17257,082-50219,2020-01-13,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.64
17258,082-50219,2020-01-13,VestfoldLAB (2020),0.0,0.0,CA_mg/l,,0.49
3145,082-50219,2020-01-13,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.79
3146,082-50219,2020-01-13,VestfoldLAB (2020),0.0,0.0,PH_<ubenevnt>,,5.13
